Стерео-листівка до 121-річчя Одеського художнього,"Стерео-листівка до 121-річчя Одеського художнього, яка показує, як змінилася Танцювальна зала музею з 1930-го року.",https://www.ofam.org.ua/ua/shop/tproduct/130991792-379478978821-stereo-listvka-do-121-rchchya-odeskogo-h,https://static.tildacdn.com/tild3232-6534-4333-a262-323234333535/photo_2020-10-28_16-.jpg,"100,00"
Футболка «Гуси» до 121-річчя Одеського художнього,"Звертаємо вашу увагу, що купуючи цю футболку, ви оформляєте попереднє замовлення. Ми зможемо надіслати її після 1 листопада. Футболка з репродукцією роботи Киріака Костанді «Гуси» з основної експозиції Одеського художнього. Лімітована колекція до 121-річчя Одеського художнього. Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле",https://www.ofam.org.ua/ua/shop/tproduct/130991792-431087120681-futbolka-gusi-do-121-rchchya-odeskogo-hu,https://static.tildacdn.com/tild3934-3761-4133-a362-326662653762/_.png,"349,00"
Футболка «Феєрверк» до 121-річчя Одеського художнього,"Звертаємо вашу увагу, що купуючи цю футболку, ви оформляєте попереднє замовлення. Ми зможемо надіслати її після 1 листопада. Футболка з репродукцією роботи Костянтина Сомова «Феєрверк» з основної експозиції Одеського художнього. Лімітована колекція до 121-річчя Одеського художнього. Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Картина: Політ
Художник: Ацманчук",https://www.ofam.org.ua/ua/shop/tproduct/130991792-988396393881-futbolka-ferverk-do-121-rchchya-odeskogo,https://static.tildacdn.com/tild6361-6331-4437-a330-373533666532/_.png,"349,00"
Лімітована колекція чорно-білих листівок до 121-річчя Одеського художнього,"Звертаємо увагу, що купуючи набор листівок ви оформлюєте попереднє замовлення. Ми зможемо вам відправити їх після 1 листопада. Лімітована колекція чорно-білих листівок до 121-річчя Одеського художнього. У наборі 10 листівок — 10 фото з архіву музею, які показують, як змінювався музей з 1900-х до 1990-х років.",https://www.ofam.org.ua/ua/shop/tproduct/130991792-704556028081-lmtovana-kolektsya-chorno-blih-listvok-d,https://static.tildacdn.com/tild6466-6238-4461-b934-663139663539/3_2.png,"100,00"
Шкарпетки «З музеєм у серці»,"Звертаємо увагу, купуючи шкарпетки ви оформлюєте попереднє замовлення. Ми зможемо вам їх відправити після 1 листопада. Шкарпетки «З музеєм у серці», які ми розробили до 121-річчя Одеського художнього. Купуючи шкарпетки, ви підтримуєте Одеський художній музей.                                                                                                                                 Тип: Шкарпетки
Категорія: Доросле",https://www.ofam.org.ua/ua/shop/tproduct/130991792-116535171771-shkarpetki-z-muzem-u-serts,https://static.tildacdn.com/tild3663-3366-4635-b565-633662663833/photo_2020-10-28_17-.jpg,"99,00"
Значок «Політ»,"Металевий значок із репродукцією картини Олександра Ацманчука «Політ» з колекції Одеського художнього музею                                                                                                                                 Тип: Значки
Категорія: Доросле
Картина: Політ",https://www.ofam.org.ua/ua/shop/tproduct/130991792-719253714382-znachok-polt,https://static.tildacdn.com/tild3232-6536-4531-b337-326430636162/IMG_1469.JPG,"99,00"
Шкарпетки «Політ»,"Шкарпетки з репродукцією роботи Олександра Ацманчука «Політ». Купуючи шкарпетки, ви підтримуєте Одеський художній музей.                                                                                                                                 Тип: Шкарпетки
Картина: Політ
Категорія: Доросле
Художник: Ацманчук",https://www.ofam.org.ua/ua/shop/tproduct/130991792-569510796565-shkarpetki-polt,https://static.tildacdn.com/tild3934-3365-4231-b762-366133386335/__1.jpg,"99,00"
Футболка «Ройтбурд»,"Футболка на підтримку директора Одеського художнього музею Олександра Ройтбурда.Ілюстрація: Олександр ГреховСклад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Художник: Ройтбурд",https://www.ofam.org.ua/ua/shop/tproduct/130991792-606892246516-futbolka-roitburd,https://static.tildacdn.com/tild3136-3233-4433-b036-346131386438/__.png,"275,00"
Футболка «Політ»,"Футболка з репродукцією роботи Олександра Ацманчука «Політ» з основної експозиції Одеського художнього.Склад: 100% бавовнаРозмірна сітка:  S  Довжина 70 / Ширина 45  М  Довжина 74 / Ширина 50  L  Довжина 75 / Ширина 54  XL  Довжина 81 / Ширина 60  Тип: Футболки
Категорія: Доросле
Картина: Політ
Художник: Ацманчук",https://www.ofam.org.ua/ua/shop/tproduct/130991792-410867441508-futbolka-polt,https://static.tildacdn.com/tild6437-3865-4731-a632-613661636662/IMG_1125-min.jpg,"349,00"
Membership,"Membership — один із способів підтримки музею мешканцями та гостями міста. Програму Membership можна знайти в більшості великих музеїв світу. Сплачуючи єдиний внесок за рік, власники Member Card роблять особистий внесок у розвиток Одеського художнього музею і дають можливість музею краще піклуватися про них.З Member Card ви отримаєте:  ✓ вільний вхід до основної експозиції музею протягом 2020 року (1 особа)✓ вільний вхід на всі тимчасові виставки протягом 2020 року (1 особа)✓ вільний вхід на лекції протягом 2020 року (1 особа)✓ вільна участь в усіх екскурсіях протягом 2020 року (1 особа)",https://www.ofam.org.ua/ua/shop/tproduct/130991792-632791591151-membership,https://static.tildacdn.com/tild3761-3638-4332-b063-356564663263/credit_card_mockup.jpg,"499,00"
